,Name,Top5,Top_20
105,Hunter Mahan,0.8729603729603731,0.5714285714285714
101,Henrik Norlander,0.9166666666666665,0.5
83,Nate Lashley,1.743939393939394,0.4
80,Vaughn Taylor,1.8192460317460322,0.4
119,Peter Malnati,0.5181818181818182,0.4
113,Erik van Rooyen,0.6801282051282052,0.4
118,Hank Lebioda,0.5488636363636364,0.3333333333333333
129,Chez Reavie,0.3214285714285714,0.3333333333333333
130,D.J. Trahan,0.3055555555555556,0.2857142857142857
127,Tyler McCumber,0.375,0.25
98,Kramer Hickok,1.12725468975469,0.16666666666666666
139,Rafa Cabrera Bello,0.09722222222222221,0.16666666666666666
143,Kevin Tway,0.0,0.0
138,Pat Perez,0.1,0.0
137,Scott Brown,0.17857142857142858,0.0
136,Sebastian Cappelen,0.18181818181818182,0.0
142,Sung Kang,0.0,0.0
140,Xinjun Zhang,0.05,0.0
141,Harry Higgs,0.0,0.0
132,Gary Woodland,0.2708333333333333,0.0
131,Kelly Kraft,0.2875,0.0
78,Scott Stallings,1.9215139027639025,0.0
128,Beau Hossler,0.3333333333333333,0.0
126,Robby Shelton,0.3928571428571429,0.0
125,Jimmy Walker,0.39583333333333326,0.0
124,Bill Haas,0.4444444444444444,0.0
123,Charl Schwartzel,0.46527777777777785,0.0
120,Troy Merritt,0.5,0.0
117,Tom Lewis,0.5666666666666667,0.0
116,Jason Dufner,0.5965686274509804,0.0
110,Scott Harrington,0.7474747474747475,0.0
108,K.J. Choi,0.7847402597402597,0.0
107,Tom Hoge,0.8499999999999999,0.0
84,Vincent Whaley,1.6698879551820727,0.0
75,Will Gordon,2.0746031746031743,0.0
144,Luke Donald,0.0,0.0
